poll_text, day, address, time
Треня по гимнастике, Понедельник, Акроритм, 19.30
Треня по гимнастике, Среда, Динамо, 19.30
Треня по гимнастике, Пятница, Акроритм, 19.30
Треня по акробатике, Воскресенье, Акроритм, 19.30
